,comment_author,star_rating,comment_date,comment_title,comment
589,s.l.,2.0 out of 5 stars,"Reviewed in the United States on July 24, 2020",Don’t buy!,"  I love a good sesame roasted seaweed. I’ve bought this before from my local supermarket, love it and wanted to buy it in bulk. It came nicely packaged, but after giving 2 packs a chance, the seaweed is stale. I highly recommend this brand and flavor, but not from this buyer."
590,Melissa O'Neil,5.0 out of 5 stars,"Reviewed in the United States on December 14, 2011",Amazing!,"  I had a good feeling of what these would taste like but was not 100% sure what I was getting myself into. I did know that i LOVE veggie sushi with tons of wasabi, eating just rice and seaweed, miso soup and wasabi peas so I knew these had to be up my alley. I could not have been more correct! These have some serious wasabi heat, especially if you eat more than one at a time. I think they are a perfect snack. Now if you are looking for something to replace BBQ potatoe chips than you will surely be disappointed. I on the other had find these tastey and addictive. I will be getting more because I see myself going through these 12 bags very quickly."
591,Its Not Important,5.0 out of 5 stars,"Reviewed in the United States on September 22, 2011",DELICIOUSLY ADDICTIVE snack!!,"  I first got hooked on the plain version of these from Trader Joe's; from there, I found the Wasabi flavor at Whole Foods and what can I say: I'm completely ADDICTED!! These are light, flavorful sheets that pack a nice kick with the spicy flavor. These are indeed 'fishy' in taste - hence the SEAweed taste... you know, from the SEA?? But it's not a rancid taste or anything like that. If you don't like the taste of fish, these and other SEAweed products are probably are not for you, but if you enjoy a nice Asian-themed snack, these are PERFECT!! Ordering them on Amazon is definitely a savings over Whole Foods and so far - several orders later - I haven't had any problems with quality, cost or shipment."
592,Shari Blake,5.0 out of 5 stars,"Reviewed in the United States on June 27, 2019",So healthy & yummy,"  Great healthy snack for those on special low carbohydrate diets like keto, paleo, alkaline, body ecology etcLow calorie and mineral rich"
593,Natalie,5.0 out of 5 stars,"Reviewed in the United States on February 6, 2018",Best low carb snack,  Best low carb snack. These really hit that crunchy/salty craving on my low carb diet. These packs are big enough to take care of the cravings and I'm a big fan of the wasabi flavoring. These snacks are our low carb staple in my household so we typically buy them in bulk. I have tried other brands but always end up coming back to Annie Chun brand. Can't get enough of these and they never last long in my house!
594,R.C. Driver,2.0 out of 5 stars,"Reviewed in the United States on March 5, 2019",Strong Wasabi,  The wasabi flavor is way too strong; burns the mouth; just sayin.
595,Brian Berkovitz,5.0 out of 5 stars,"Reviewed in the United States on March 22, 2017",Five Stars,"  Great seaweed, wasabi taste, a few pieces weren't flavored much at all and this is across multiple packages!!"
596,sb,5.0 out of 5 stars,"Reviewed in the United States on June 20, 2019",Best Wasabi Flavor,"  I used to buy these at my grocery store before we moved. Our new store doesn't carry these, but i was able to find them on Amazon. The wasabi taste it hot and the crunch is perfect. If you like Wasabi and seaweed snacks, these are a great buy."
597,VRK,2.0 out of 5 stars,"Reviewed in the United States on April 9, 2020",My shipment was dried out/unflavorfull,  The low rating is because I got a stale shipment. The seaweed was dried out and not spicy (Wasabi flavor). I know this company makes good seaweed snacks (the sesame shipment was perfect) so I hope more attention to getting a quality product to consumers happens. When you buy a whole shipment and it's all dry it's very disappointing.  Especially since I was planning to do a subscription.
598,E. Just,5.0 out of 5 stars,"Reviewed in the United States on October 7, 2014",Best Snack,  I was so excited to find these in bulk of 12! This is a great tasting low calorie snack! My 8 year old loves taking these to school and she told me that all the kids enjoy seaweed! As a note I recommend eating the whole pack once it's open because they will become soft and not crunchy after a while. Having said that eating a pack is not a problem... they are light and yummy! I will be back for more!
599,Zanlue,5.0 out of 5 stars,"Reviewed in the United States on March 7, 2017",Delicious!,"  I was nervous to order after reading a few bad reviews. But these are delicious! If you like wasabi and seaweed, look no further! These are slightly thicker than trader joes, same size pack as trader Joes, and slightly spicier than trader joes."
600,Amazon Customer,2.0 out of 5 stars,"Reviewed in the United States on March 6, 2019","Tastes good, but packages were open.","  The only reason for the low rating is that two of the packages came opened. I had to throw them away, even though they looked untouched. Too bad. The flavor is very good."
601,Christopher Crawford,5.0 out of 5 stars,"Reviewed in the United States on March 19, 2020",Extremely delicious.,"  I wish Annie Chun would change the package design on this product to a flat wrapper with no plastic tray, that is overkill and wasteful for a few tiny pieces of seaweed, I'd rather have more seaweed than plastic. I'd love it if the package size was flat and increased by at least 50% to 100% more content."
602,Neurasthenic,5.0 out of 5 stars,"Reviewed in the United States on October 31, 2011",the gold standard for wasabi seaweed,"  These are identical to the excellent Trader Joe's wasabi seaweed; they clearly come from the same source. They are spicy without being painful, and they dissolve on the tongue. I am totally addicted. Per the sharply divergent reviews on this page, not everybody likes seaweed and even those that do don't necessarily like the spicy variety. Try one before buying a crate of it. However, if you do like the spicy stuff, you won't find any better than this.Also, Amazon's prices are excellent -- a 12-pack that costs $20 from Annie Chun directly costs only $15 here."
603,DB,2.0 out of 5 stars,"Reviewed in the United States on June 1, 2013",Not my cup of tea.,"  I ordered these hoping for a healthy snack alternative to crackers or other junk food.  The biggest killer is that they are the thickness of a Listerine dissolvable breath strip.  I wanted to call it 1-ply TP, but even that has more thickness.  Then there is the mess.  The little flakes of seaweed adhere to you after they've busted off while you try and get the sheet into your mouth.The taste isnt bad, but I feel like I have to stack 3 of them together to get anything out of eating these."
604,Kristina K,5.0 out of 5 stars,"Reviewed in the United States on January 31, 2019",Addictive,"  I just wish packaging for seaweed snacks was different. It feels like a lot of waste. I love the seaweed, though."
605,mom of 2 boys ....,5.0 out of 5 stars,"Reviewed in the United States on November 29, 2018",Son really likes this brand.,"  My son really like them.  The seaweed is thin and crumbles up when you eat them, but it pretty much all does.  He takes them for lunches and snacks."
606,Charlie Sorel,2.0 out of 5 stars,"Reviewed in the United States on May 2, 2019",Way Too Salty,"  I love dried seaweed.  Only these were as I said way too salty.  If you can stomach that, enjoy the heat of wasabi."
607,Mantich,5.0 out of 5 stars,"Reviewed in the United States on March 31, 2020",I love these,"  I love these. First time I've tried this brand. A little pricy, but very tasty!"
608,dylan drummer,5.0 out of 5 stars,"Reviewed in the United States on January 14, 2020",YUM,"  My wife and I do not eat many things seaweed, but these seaweed chips are pretty amazing."
609,Whitaker,4.0 out of 5 stars,"Reviewed in the United States on August 11, 2013",Delicious snack,"  The saltiness and chewiness is enough to satiate your cravings as would another snack, but this is far healthy and only 30 calories per serving.  Wonderfully low-carb ... most of the calories come from the sesame oil it is brushed with.  If I didn't buy this while there was a coupon available I would've thought it was too expensive though. But Amazon's regular price is still a little cheaper per pack than Safeway or my local grocer, who sells them for $1.89 each."
610,KD,1.0 out of 5 stars,"Reviewed in the United States on June 25, 2013","Fishy, fishy","  I was expecting these snacks to be salty and crispy with a mild taste of the sea.  No luck.They are textured like a very thin rice cake, and just as unsatisfying.  The taste is fishy, think cod liver oil.My quest of a healthy snack continues.  Occasionaly I snack on kelp, however it gets boring since it is chewy and can get too salty.I am looking for a seaweed ""potato"" chips, something with a crunch.If you are a fish flavor aficionado, enjoy."
611,Jubilee Taurnard,2.0 out of 5 stars,"Reviewed in the United States on April 5, 2019",Overly salty and not good,  Overly salty. Does not taste very good at all. Do you want to bite into salty wasabi? No? Don’t buy these.
612,Anna,5.0 out of 5 stars,"Reviewed in the United States on June 5, 2013",Delicious and nutritious,"  I absolutely loved these snacks. They certainly taste like like a seafood item and have that ""fishy"" taste to them. If you don't like that kind of flavor or aftertaste, then this is definitely not the product for you. The texture is similar to a Listerine breath strip--which sounds disgusting, but it's actually quite good, as it adds a crunchy, crispy sensation that is kind of like potato chips. They are a little salty, so make sure you have a drink handy when you eat them."
613,Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on June 29, 2020",Know what these are before buying.,  This is an acquired taste. I was not able to eat 1 bite. For me it is inedible.
614,Steve,2.0 out of 5 stars,"Reviewed in the United States on July 25, 2015",Buy seaweed at your local Asian Market,  Skip it. Go to your local Asian store and buy authentic Korean dried seaweed there. The wasabi flavor is the best out from this company and this sesame flavor one is not tasty at all. I won't be buying it again. Can get much better quality at a better price at a Asian market.
615,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on June 24, 2019",Twice as much and just as good,"  Love these! They're a little pricier per pack than my other favorite, GimMe teriyaki flavor, but each package has twice as much. I buy them regularly."
616,IM,5.0 out of 5 stars,"Reviewed in the United States on December 23, 2017",It amazing! My whole family loves this as a snack,"  It amazing! My whole family loves this as a snack.When my daughter bring it to school for lunch she always end up sharing  with other kids, because they asking for it and  its delicious"
617,n/a,5.0 out of 5 stars,"Reviewed in the United States on July 12, 2019",They're so good 😊,"  Love them so much, but one day I just got allergic to seaweed. 😭😭😭😭"
618,DanceHistorian,5.0 out of 5 stars,"Reviewed in the United States on August 23, 2013","So tasty and healthy, too!","  It's crunchy (as long as you eat it quickly. It gets a little limp if you let it sit out.) It tastes salty but doesn't actually have that much sodium. It's full of nutrients. It's reasonably cheap when you buy it in bulk, and even more so if you do a monthly subscription like we do. But it's the subtle sesame flavor--from sesame oil rather than seeds--that makes this seaweed snack stand out among the many other tasty versions out there. Highly recommended."
619,Amazon Customer,4.0 out of 5 stars,"Reviewed in the United States on May 13, 2019",Good but saltier then expected,  Good flavor. Fresh tasting product. Saltier then I expected but still good. It has some zip in the taste....wasabi!  My favorite flavor seaweed is with wasabi.
620,History buff,1.0 out of 5 stars,"Reviewed in the United States on July 31, 2020",Did not like this product.,  Not my thing. But others may like the taste.
621,Gadget Girl,5.0 out of 5 stars,"Reviewed in the United States on July 3, 2014",You get what you ask for...,"  A co-worker introduced me to this product and I instantly loved it. I haven't tasted the other flavors but I'm perfectly happy with this one. I even make mini sushi with this. For newbies, these are not seaweed chips that will make you feel full by consuming alone - you will require eating it along with something else if that is your intention.I love the price, the quantity, and the quality and speed of shipment.I always purchase these seaweed snacks from this seller."
622,"Pyun,seonghi",5.0 out of 5 stars,"Reviewed in the United States on March 25, 2019",Strongly recommend it,  Perfect!  fantastic ! taste good and very fresh ! I’m very satisfied!  Strongly  recommended !
623,Michelle Pellett,5.0 out of 5 stars,"Reviewed in the United States on November 30, 2019",Great so far,"  I was a little unsure about these because of the reviews regarding freshness, but I've ordered them twice and haven't had any problems so far. This will be updated if that ever changes."
624,TwinMaman,5.0 out of 5 stars,"Reviewed in the United States on June 8, 2018",Delicious and healthy!!,  My obsession! I no longer eat potato chips because I have these. So good! Only bad thing is my husband is now obsessed with them too so I have to share!
625,Irisag,4.0 out of 5 stars,"Reviewed in the United States on May 31, 2017",My new addiction. Wish they didn't keep jacking the ...,  My new addiction. Wish they didn't keep jacking the price all around. That's the only reason I took back a star.
626,Ymro,5.0 out of 5 stars,"Reviewed in the United States on March 23, 2019",This is addictive in a good way,"  The only problem is that it tastes so good, that you feel compelled to never stop buying it."
627,jeremy williams,3.0 out of 5 stars,"Reviewed in the United States on June 22, 2020",Inconsistent Taste,  Me and my wife love these snacks. The flavor is amazing and very healthy late night snack. My one issue is the inconsistencies on flavor. One pack is super spicy another pack has no spice at all. This has happened with two different boxes and is becoming a disappointment.
628,LOIS,5.0 out of 5 stars,"Reviewed in the United States on January 5, 2018",Healthy and tastes great.,  Love the flavor and at half the price of the grocery store.  Can't beat Amazon on this one.  Healthy snack for us and the kids.  Will be buying this regularly from now on from Amazon
629,Katie Maye,5.0 out of 5 stars,"Reviewed in the United States on May 23, 2019",Addictive Salty Goodness!,  These are my new favorite snacks! They taste great! Salty goodness! I have ordered them a couple times and I am very happy with the consistency of the product. Will continue to keep buying.
630,O.,5.0 out of 5 stars,"Reviewed in the United States on December 18, 2015",Love the kick!,"  These were tasty!! We are big fans of roasted seaweed in general but the wasabi flavoring is just an extra bonus. Packaged well for freshness, these easily lasted several months in our cupboard, still equally fresh each time we opened another one.Love the wasabi kick! Definitely has a spice factor -- love it or hate it, but we certainly loved it :)"
631,Spot,5.0 out of 5 stars,"Reviewed in the United States on November 8, 2017",So Good!,"  I love these.  Just so you know, these are not hot or spicy even though they are Wasabi flavor.  There is just a little touch of heat, almost mild which is all I can take anyway."
632,Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on February 3, 2018",One Star - Received old snacks close to expiration,  These two packages expire April 2018. OLD
633,The Pessimistic Profiler,4.0 out of 5 stars,"Reviewed in the United States on September 15, 2017",I eat too many...,"  While I LOVE these seaweed snacks. There was a lot of variation case by case. Some cases would be immensely salty and wasabi-ish (which I like), and then other cases were somewhat lackluster. Overall though, way more hits than misses and I definitely recommend."
634,Rhiannon Bruner,5.0 out of 5 stars,"Reviewed in the United States on June 7, 2019",Will buy again,  Love this seaweed
635,Anthony Cervantes,5.0 out of 5 stars,"Reviewed in the United States on September 25, 2015",I had to buy a bulk box of these because ...,"  I had to buy a bulk box of these because my store charges nearly $3 a pack. I can't keep up with that price per calorie count. They're delicious. My 2 year old son even likes to share them with me (though the wasabi threw him for a loop at first ;)) They came quickly, they're fresh and I would buy them again."
636,Tonya,5.0 out of 5 stars,"Reviewed in the United States on January 26, 2020",Great product,  The right amount of flavor in every bite...thank you.
637,Mike,2.0 out of 5 stars,"Reviewed in the United States on August 1, 2020",Disappointed,"  I’ve had this wasabi flavor many many time, I’ve received a order and it tasted like it’s stale or no flavor with in."
638,Robin B.,3.0 out of 5 stars,"Reviewed in the United States on August 28, 2017",Please redesign packaging,  This product is great when you open it but wilts very quickly.  I wish the packaging had a reseal to keep the crunch for more than one day. Otherwise very tasty and just the right amount of salt.
639,Emily,5.0 out of 5 stars,"Reviewed in the United States on October 28, 2011",Hotter than other brands.  Delicious!,"  I love the taste of seaweed and wasabi, and have an unsatisfiable love for spicy foods.  I have had other brands of wasabi seaweed snacks, and these are by FAR the spiciest.  I saw someone mention that the spice is variable, so it's possible I've eaten extra spicy packs, I suppose, but these have enough kick to ""clear your sinuses"".  If you like your spicy food no hotter than ""medium"" you will probably find these too spicy.  If you love hot foods, you'll probably be pleased that these are hotter than most ""hot"" chips (including potato chips) you've tried.  These are also less greasy than other brands of seaweed snacks.I love them.  Seaweed isn't for anyone as people mentioned.  Sure it tastes fishy.  Do you like the tase of the seaweed in sushi?  If you haven't tried sushi, then this might not be the best intro to seaweed.  If you have had sushi and you particularly like or dislike the seaweed taste there, that should predict pretty well whether you'll like these.  For me, these easily remind me of the taste of sushi with wasabi.I love these and will be buying more."
640,Paige,5.0 out of 5 stars,"Reviewed in the United States on February 15, 2020",Would recommend,  Loves these
641,carrieplant,5.0 out of 5 stars,"Reviewed in the United States on August 9, 2012",Go-to snack,"  I ordered some of these Annie Chun's Seaweed Snacks after watching a friend much on roasted seaweed.  After searching on amazon, I chose these and two flavors from Sea's Gift.  I chose the Roasted Sesame flavor over the other flavors because the ingredients are simpler.  Each package has small (but not tiny) rectangles of seaweed lined up on a tray.  I fold the pieces in half and stuff them in my mouth.  I find that if I bite the seaweed, I get more ""crumbs.""  Either way, I still wind up with pieces of seaweed on my shirt and have to check myself in the mirror after eating (also pieces get stuck in my teeth like spinach, so I have learned to check that, too). I like the texture of this seaweed-paper thin, light, and crisp.  I like the flavor-mild.  I prefer this brand to Sea's Gift because of the milder flavor.  They seem fresh.  I did not detect any off-tastes or rancidity.  I appreciate the high vitamin content and the low calories.  I reach for these when I want something crunchy.  I eat them as a snack in between meals to keep me from eating crackers. I also eat them along side a meal instead of crackers."
642,Sheila Ann Bird,5.0 out of 5 stars,"Reviewed in the United States on July 26, 2018","Delicious, vegan low calorie snack!!!",  These are some of my favorite vegan low calorie snacks. I love the wasabi ones!!! Just enough flavor and soooo crispy.
643,Curtis,5.0 out of 5 stars,"Reviewed in the United States on June 6, 2020",Seaweed,  Kids love this seaweed.
644,Y I luv them,5.0 out of 5 stars,"Reviewed in the United States on March 15, 2020",Fast delivery,  Great product. My kids love these.
645,Hound,4.0 out of 5 stars,"Reviewed in the United States on May 1, 2018",High quality seaweed snack.,"  This seaweed snack takes getting used to, but it is very good. Somewhat pricey for what it is, but I think it's worth it. Just as a tip, don't breath out your nose when eating. Burns like a mother."
646,Kelkatan,5.0 out of 5 stars,"Reviewed in the United States on September 11, 2017",Five Stars,"  My favorite brand! Always tasty and well packaged. My favorite is Wasabi flavor but the others are good, too."
647,Docret7001,2.0 out of 5 stars,"Reviewed in the United States on June 5, 2019",MISSING PACKAGES,  I really enjoy these snacks and as a Diabetic they work great but I only got 7 individual packages instead of 12
648,Hasmin Wicklund,3.0 out of 5 stars,"Reviewed in the United States on April 20, 2020",No Flavor,  I think I got a bad batch because they had no flavor. In store they're good though.
649,Randall G.,1.0 out of 5 stars,"Reviewed in the United States on May 28, 2017",Not for my family!,"  I like sushi and I like fish.  But this product tastes horrible, as if we picked some seaweed up at the beach and dried it.  It tastes like a dead fish. We threw it away."
650,Jennifer E.,5.0 out of 5 stars,"Reviewed in the United States on July 1, 2019",Yum!,  Super good! Great price and snack
651,martha,5.0 out of 5 stars,"Reviewed in the United States on June 18, 2019",delicious,"  these are not to strong and very tasty, I have ordered these several times and will do so again"
652,Felicia Ferrance,5.0 out of 5 stars,"Reviewed in the United States on September 7, 2019",Spicy Goodness,  Great healthy snack - but too much plastic packaging!
653,Woody,5.0 out of 5 stars,"Reviewed in the United States on November 18, 2016",Love it. Ran into these and loved them,  Love it.  Ran into these and loved them.  This is a huge box of 12 packages with about 20 sheets in each package of the crispy stuff.  Salty and Wasabi for sure.
654,Kali Andre,5.0 out of 5 stars,"Reviewed in the United States on December 9, 2012",Perfect!,"  One of the snacks I've replaced chips with.  Seaweed is a good source of minerals - a kind of superfood, except for the sodium.  Low in calories and crunchy/salty so good to eat as a ""grazing"" eater kind of snack.  I've eaten the whole pack before because its only 35 calories, but I do have to be careful for sodium so I limit any frequency, but I buy them all the time, still."
655,Denise,3.0 out of 5 stars,"Reviewed in the United States on August 9, 2020",last order,"  All my previous orders have been good, for some reason this last order not so good. A lot of the strips in most of the bags I have opened were broken up in pieces ."
656,Bo,4.0 out of 5 stars,"Reviewed in the United States on July 31, 2018",tastes good,"  Not bad, and less expensive. I think I like the other brand better. But can't beat the price"
657,AJ,5.0 out of 5 stars,"Reviewed in the United States on December 7, 2018",Yum,  These are delicious and a great low calorie snack.
658,John Giusto,5.0 out of 5 stars,"Reviewed in the United States on August 2, 2017",Really like these. If you can get them for a ...,  Really like these.  If you can get them for a good price you are set.  The sesame flavor is incredible as well.  The right amount of flavor vs. salt.  As well as being very crispy while being minimally greasy.
659,ElectricCongregation,5.0 out of 5 stars,"Reviewed in the United States on October 15, 2015",I miss my potato chips..But these will do,"  I always OD on these things. They are like Lay's potato chips to me. You can't eat just one. In my quest to eat healthier, (although it absolutely sux sometimes) I find these take the place of potato chips. I also get the Sesame oil flavour as well"
660,Lisa M,1.0 out of 5 stars,"Reviewed in the United States on January 27, 2017",Sent wrong product,  I ordered three 12 packs of Wasabi and 2/3 of them contained the wrong flavor.
661,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on February 22, 2020",Freshness appreciated,"  So yummy, crisp, and fresh"
662,Nina,5.0 out of 5 stars,"Reviewed in the United States on April 27, 2014",Spicy seaweed in a big package,"  If you've purchased seaweed snacks before, you've probably noticed they come in small and large packages. This product falls into the larger category, making it a good value for the money. As for the flavor, the wasabi is delicious, and compares favorably to other wasabi-flavored seaweed snacks that we've tried."
663,Lolly Fox,5.0 out of 5 stars,"Reviewed in the United States on September 24, 2018",Addictive!🙂,  Yummy
664,Ryan Orwig,5.0 out of 5 stars,"Reviewed in the United States on May 1, 2018",Five Stars,  Great seaweed snacks and they can be found here for a pretty good price in bulk.
665,SiouxBuck,5.0 out of 5 stars,"Reviewed in the United States on May 1, 2013",Great tasting snack!,"  This seaweed is the best I've tasted and find myself eating at least one package a day. I know it is healthy for me, but it has also decreased my appetite, which I needed!  It isn't as fishy as other brands and has just right amount of salt in it. I love it so good that I've subscribed to receiving the box of 12 every month!"
666,Go figure,5.0 out of 5 stars,"Reviewed in the United States on January 17, 2013",Best seaweed snack out there,"  Having tried several seaweed snacks over the years, I have to say hands down this is the best I've had.  It's so healthy for you, and it helps satisfy that salty craving for only 60 calories a package.  If you've never had seaweed snacks before, I suggest you try to buy a single package at a grocery store first, just to see if you'll like it- it's an acquired taste, to say the least."
667,john m romanick,1.0 out of 5 stars,"Reviewed in the United States on October 28, 2017",wrong qty,  bought a pack of 12 got a pack of 1
668,B Hodg,3.0 out of 5 stars,"Reviewed in the United States on September 14, 2016",Not what I expected,  Tastes alright. Thought I was ordering one package to try but received a CASE. Will take me a long time to eat them all! I thought they would be chip thickness but they are paper thin.
669,V i P,4.0 out of 5 stars,"Reviewed in the United States on March 7, 2018",Seaweed snack,  Yummy 😋 not for kids.
670,Susan Slater,5.0 out of 5 stars,"Reviewed in the United States on October 18, 2018",Favorite snack!,  I am diabetic so love this snack it’s no carbs. The wasabi flavor is just right. They are crispy and delicious.
671,Denise Day,5.0 out of 5 stars,"Reviewed in the United States on July 15, 2019",yummy,  love this stuff perfect evening snack great alternative to fattening chips
672,non soli cedit,2.0 out of 5 stars,"Reviewed in the United States on July 6, 2017",Two Stars,  Expensive and gimmicky. Will not buy again. Made soup using all 10 packs.
673,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on January 28, 2013",I'm addicted to these!!,"  I've tried other seaweed snacks.  This is my favorite brand.  It really makes you feel full too!  I am so glad that I tried these. I have tried the other flavor, but I did not like it all that much. I have to control myself when I eat these snacks. So I'm limited to one a day. These are really good for you and my kids love them."
674,IamDeirdreXO,5.0 out of 5 stars,"Reviewed in the United States on October 3, 2016",she left a nice comment and had us fill out a survey that ...,"  Delicious....I uploaded a pic from my box to Annie Chunn's facebook, she left a nice comment and had us fill out a survey that will return us a $5 voucher towards the purchase of any item."
675,S. Lamb,5.0 out of 5 stars,"Reviewed in the United States on December 29, 2017",I love these things,  I love these things. They have a slight seaweed taste to them but I mostly taste the sesame and salt.
676,G. Clark,5.0 out of 5 stars,"Reviewed in the United States on July 23, 2018",Snack,"  The order came in on time, and in good working order."
677,Anne Parker,5.0 out of 5 stars,"Reviewed in the United States on September 27, 2018",Fast n fresh,"  Fast delivery, fresh merchandise"
678,CFK,4.0 out of 5 stars,"Reviewed in the United States on April 19, 2018",Four Stars,  Good
679,Avi,5.0 out of 5 stars,"Reviewed in the United States on December 29, 2015",Great product!,  Love love love love this product! It consistently taste AMAZING!I am obsessed with seaweed chips and have tried other brands and  this brand is PERFECT!The wasabi adds the extra spice and it literally is a treat each bite
680,SE,1.0 out of 5 stars,"Reviewed in the United States on December 30, 2018",Stale,  Order item frequently the last batch I received were a bit stale.
681,Karen,5.0 out of 5 stars,"Reviewed in the United States on August 5, 2018",Tastes great,  My favorite snack in the whole world
682,Anne-Marie Borbely-Bartis,5.0 out of 5 stars,"Reviewed in the United States on March 13, 2012",utterly addictive,"  This has proven to be an easy way to get more seaweed into my diet. I keep the packages in my office drawer and pull one out each day (or two--I find it hard to stop!). The combination of toasted sesame and salt infused into miniature nori-type sheets make this crunchy, slightly salty, sweet, and better than potato chips. Delicious and suprisingly low sodium."
683,Haley,5.0 out of 5 stars,"Reviewed in the United States on October 28, 2016",Love these! The wasabi ones are the best and ...,"  Love these! The wasabi ones are the best and the packaging was great, nothing was crushed or anything. Would recommend."
684,Camille Bee,5.0 out of 5 stars,"Reviewed in the United States on May 2, 2013",Addicted to the snack,"  The package came on time and I am hooked on the seaweed snack: Low cal and high taste. I ordered the Wasabi flavor and find it flavorful and just the right subsittute for a ""munchie"" for the morning or afternoon. I returned to the website do the monthly subscription for this item....I am very delighted with the product and the packaging"
685,Kimberly Mercer,1.0 out of 5 stars,"Reviewed in the United States on April 17, 2019",Gross,  These are disgusting. I'm going to throw them all away.
686,Cindy Auerbach,5.0 out of 5 stars,"Reviewed in the United States on June 12, 2018","Great product, not salty & great price",  My daughter loves them. Came intact. No problems
687, customer,1.0 out of 5 stars,"Reviewed in the United States on April 8, 2020",I'd rather eat paper,  This tastes like chewing paper that has been in my Dog's mouth.
688,It's Just Me,5.0 out of 5 stars,"Reviewed in the United States on June 23, 2013","tasty, healthy, and packaged in a #1 plastic (BPA free) tray","  My whole family loves these seaweed snacks.  We've tried a number of brands and these are our favorite.  I was concerned about what type of plastic the tray was.  The recycle code was in Korean (?) so I contacted the company and they said that the tray is made of recyclable plastic #1, which does NOT contain BPA.  Super!"
689,Liliane Benucci,5.0 out of 5 stars,"Reviewed in the United States on August 30, 2018",Great Snack,  Not disappointed - these are great!
690,KB,5.0 out of 5 stars,"Reviewed in the United States on August 6, 2018",I love these!,"  Fresh, yummy snacks!"
691,P David,4.0 out of 5 stars,"Reviewed in the United States on January 27, 2012",Tatsy,"  I got these on an impulse and could only hope that they weren't awful. They are actually pretty tasty, and a great snack!!! Try more than one sheet before you decide! I definitely wouldn't call these hot; somewhere between medium and mild would be more accurate. 1 package = 2 servings = 60 calories. It's hard to beat those numbers!"
692,Laurie J.,5.0 out of 5 stars,"Reviewed in the United States on June 29, 2013",Great new seaweed,"  I tried seaweed years ago by boiling it in broth but couldn't stand the fishy taste. After being diagnosed with low thyroid function, it's important that I get enough iodine in my diet. What an improvement over those big hard sheets of kombu. These don't have a fishy taste at all. I eat 3 sesame and 2 wasabi (quite hot alone) each day. Delicious!"
693,Madeline,5.0 out of 5 stars,"Reviewed in the United States on February 24, 2019",Love,  Love these!!!
694,Lisa,5.0 out of 5 stars,"Reviewed in the United States on August 20, 2013",Best snack ever!,"  I must admit I did not like these AT ALL when I forced myself to eat the first pack.  I didn't know what I would do with the other 11 packages, so they sat on the kitchen counter for a couple of weeks.  I think I was expecting the taste of the seaweed my mom used to buy when I was a kid...no salt or any kind of seasoning on it and this had too much ""bite"" for me.  I finally decided to try them one more time, took a few bites and low and behold...delicious!  My teenager loves them also so we are making sure to keep a good supply on hand so we can snack on these in the evening instead of reaching for unhealthy chips.  I actually haven't bought a bag of chips since buying these and we used to go through a couple of big bags of chips and dip a week. They are salty (which is what I crave) but not overly so.  Crispy and savory...and healthy too! Can't beat it!UPDATE: NOVEMBER12, 2013I have ordered several more times and we still love these.  I actually crave them now!  Give them a chance, even if you aren't crazy about them at first (I thought they were horrible) they may grow on you like they did me!  :>)"
695,Perry Thompson,5.0 out of 5 stars,"Reviewed in the United States on February 9, 2019",Great,  We love these
696,T. C. Jones,5.0 out of 5 stars,"Reviewed in the United States on September 3, 2018",Love these things,"  Crunchy, light, absolutely tasty!"
697,Monster429,3.0 out of 5 stars,"Reviewed in the United States on April 10, 2018",Hotter than similar products,"  Not bad, but the wasabi flavor was much too strong for me. I like them from a different brand but this particular one is beyond hot."
698,Southeastern Yank,5.0 out of 5 stars,"Reviewed in the United States on December 8, 2012",My favorite snack!,"  A healthy snack with a nice bite of it's own! These are wonderful and I always have a supply on hand. Subscribe and save, these are addictive and so much better than a bag of chips. I'm very happy I gave them a try and never thought they would end up being my favorite bag to grab while working or chilling in the evening."
699,SteDon,1.0 out of 5 stars,"Reviewed in the United States on December 15, 2019",Tasted chemically,"  Not the flavor I'm used to in the organic, grocery store version of the same Annie Chun product at Kroger.  It tasted chemically or something. I was disappointed because i love the local product."
700,bemorewise,5.0 out of 5 stars,"Reviewed in the United States on October 28, 2018",Fantastic!,  Always excellent! Keep em available please!
701,Bgill,3.0 out of 5 stars,"Reviewed in the United States on May 6, 2019","Hooked, however...","  This is my 4th order, this time they had less seasoning and were lighter than .35...i hope it is just a manufacturing error and that my next refill will be back to 5 star awesome."
702,Mike,5.0 out of 5 stars,"Reviewed in the United States on March 2, 2018",Five Stars,  Wasabi!
703,Joe Hubler,4.0 out of 5 stars,"Reviewed in the United States on May 28, 2017","good taste, high price","  taste good, but a little too pricey for me."
704,S. Marie,4.0 out of 5 stars,"Reviewed in the United States on September 28, 2013",Not as Good as Sea-Snaks,"  These have more calories and are more oily and salty than the Sea-Snaks products.  However, super tasty!  60 calories for a bag.  I think Annie Chun could make this with less oil and the result would be lower calories and better.  Also, you get a lot for your money."
