score,title,author,date,comment
3,Organic Seaweed Snacks Review,"Daneilia F.,",06-Dec-18,I'd never tried seaweed before so I was very nervous to try. I'm glad I tried it. It was a very interesting flavor and texture. I can't say that I didn't like it but I can't say I did. Maybe if I got a different flavor I would have enjoyed it more. I plan on buying some of the other flavors to try and see if I like any of those better.
5,Organic Seaweed Snacks Review,"Mary M.,",04-Dec-18,The Organic Seaweed Snacks from Oceans Halo my family had never tried them till now.We really liked the taste of the sea salt ones a lot .They have no GMO in them.So its a great snack to purchase.With being organic snacks we try to keep them in our home.So we loved them.
5,Organic Seaweed Snacks Review,"Elizabeth T.,",02-Dec-18,"I thought these were delicious! So did my four year old and let me tell you, she is one picky snack eater. She really enjoyed the bacon flavored one. I enjoyed the sea salt and wasabi flavors. I will definitely be buying these for now on and tell anyone who likes seaweed to give these a try!"
5,Organic Seaweed Snacks Review,"Cedonia D.,",15-Nov-18,"I love the taste of sea salt, so I got the sea salt flavor. It was my first time ever eating a seaweed snack and I was shock how much I enjoyed the taste. I also used a sheet in my noodle bowl and wow the intense flavor was amazing! Can't wait to try the other flavors!!!"
5,Organic Seaweed Snacks Review,"Koko H.,",15-Nov-18,I really enjoyed these seaweed snacks. They're just like the ones from the Asian market except without the briny fish flavor (I love the traditional ones but these were just so refreshing). The packaging was neat and clean and the product was intact. I love them and will be buying again.
4,Organic Seaweed Snacks Review,"Kimberly M.,",04-Dec-18,I used the Chili Lime by Oceans Halo. I used it for fish tacos. They turned out delicious! I will be trying the other flavors offered by Oceans Halo in the near future. Thank you very much to Social Nature and Oceans Halo for letting me Try before buying.
4,Organic Seaweed Snacks Review,"Mercedes V.,",25-Nov-18,"So I've never tried anything sea weed before because eating sea weed sounds kinda scary for the prices I've seen it for, so when I seen this up to try I jumped on it and luckily got picked. So I tried the bacon kind which had great flavor and perfect crunch but super weird texture. I didn't mind the first couple bites but by the 3rd bite started tasting not so good I felt. I'm sure someone who enjoys seaweed would enjoy this and I've told a few people and gave out a couple coupons to them also to try. I didn't enjoy them a great deal to spend as much money on them as they want to re buy for myself again."
5,Organic Seaweed Snacks Review,"Tracie D.,",29-Nov-18,These Organic Seaweed Snacks are so tasty. When I first got the Sea Salt flavor package I couldn't wait to get home to try it so my kids and I ate it in the grocery store parking lot. So GOOD! I buy this every week now. My family has it every night on their salad.
5,Organic Seaweed Snacks Review,"Bess C.,",15-Nov-18,"I would definitely buy this again, in fact, I already have! The Bacon flavor is vegan so that's an unexpected bonus! The price is also better than other seaweed snacks. My 8-year-old took one pack to school w him and all his friends wanted to try a sheet!"
4,Organic Seaweed Snacks Review,"Sukky R.,",25-Nov-18,"I didn't expect to like these snacks as much as I do. They taste pretty good. My hubby loved them and I do plan on buying them. The only reason I didn't give 5 stars because I thought they would be like major healthy and they're not horrible for you but there is definitely lower Cal snacks. Other than that I adore it,"
4,Organic Seaweed Snacks Review,"Madison L.,",17-Dec-18,"I really enjoyed the flavor of the Halo wasabi flavor! They had just the right amount of spice you want with wasabi flavoring without being overpowering. They were also really crunchy, which I love when it comes to seaweed snacks. I will be buying these again!"
5,Organic Seaweed Snacks Review,"Hannah M.,",28-Nov-18,"I decided to purchase the Sea Salt Seaweed Snacks so I could compare it to many other Korean seaweed products I have tried in the past. I thought that the product had a great crispiness to it and was flavorful without being overly salty. A fantastic snack to have on your own or wonderful to complement a simple Korean meal of rice and side dishes. Would be open to trying other flavors, but would probably only consume them for snacking purposes. TL;DR, a healthy, tasty, low-calorie snack that I highly recommend."
5,Organic Seaweed Snacks Review,"Michelle C.,",04-Nov-18,So I received my coupons last week and while I was at Dillon's I picked up some of the Oceans Halo Seaweed Snack. I must say I was a bit skeptic.. I have had organic seaweed and wasn't a fan of the product. That was however until I tried this product. I was amazing and so tasty that I went back to the store to purchase more.
5,Organic Seaweed Snacks Review,"Cassandra C.,",26-Oct-18,I thought I was getting the product mail to me already not a cupon but it's okay I just recently recieved it so I'll be going to the store soon to buy this product and even though I haven't got it yet I already talked about it on my social medias. I'm excited to get this I can't wait to test it out for the first time.
3,Organic Seaweed Snacks Review,"Jessa T.,",07-Jan-19,"I am not the biggest fan of dried seaweed, but I figured I would give this a shot. As predicted, it is very salty (but what seaweed isn't?). The Bacon flavor was not as prevalent as I would have liked, but for a dried seaweed fan, I'm sure this is a perfectly acceptable snack. The price point was very affordable, which was nice. I definitely want to try some of the other Ocean's Halo products."
5,Organic Seaweed Snacks Review,"Latoya C.,",18-Dec-18,Ocean's Halo was by far my favorite seaweed snack I have purchased. The flavor was wonderful. I have tried a few other brands but this one took the cake. The texture was crunchy and satisfying. I usually take these on the go when I'm running short on time but I found myself eating them even at home. My four year old even liked them! Which is rare because she is very picky.
5,Organic Seaweed Snacks Review,"Michelle C.,",12-Jan-19,"I love seaweed snack and I have now found my new favorite brand! Ocean's Halo snack have a variety of flavors to choose from, are organic, a good price, healthy and yummy. I like that they are easy to throw in my purse or glovebox for an easy on the go snack. I highly recommend Ocean's Halo Seaweed Snacks!"
5,Organic Seaweed Snacks Review,"James D.,",02-Dec-18,"I loved these! They were not as spicy as I expected, although I suspect that is a good thing for most people (I like intense flavors). This is the perfect snack if you want something flavorful, healthy, and low cal. I will definitely be getting these in the future."
4,Organic Seaweed Snacks Review,"Angel W.,",12-Dec-18,I enjoyed the Ocean's Halo seaweed snack sheets. Generally I purchase large plain seaweed big sheets and have to wait them and roast and then cut with scissors. These are the perfect size and very convenient as to put rice and veggies in and roll. And did I mention saves me a ton of time when I'm always on the go. Very easy to pack in my container for lunch or if I just want to throw in a Ziploc bag and ear throughout the day. Very healthy. My only complaint is it was a little salty for my taste.
3,Organic Seaweed Snacks Review,"amanda H.,",31-Oct-18,"We got the ramen bowl kit, and I have to say it just was not our thing. It wasn't inedible, the noodles were great, we just did not like the broth. You can very much tell it is kelp/seaweed based. We would much prefer a chicken/beef base. However for someone who is more in to that seaweed flavor profile in a soup, it would probably be great."
5,Organic Seaweed Snacks Review,"Brittany Y.,",30-Dec-18,"I adored the Ocean's Halo seaweed snacks! They were so light and crispy with an airy crunch and lightly salted flavor. I ate them plain as a light snack, they were so yummy and just made me feel great. I would recommend these to anyone who loves a fresh, healthy snack that will not leave you feeling any regret or sluggishness. This is a snack you can feel good about eating and really enjoy. It is now one of my go-to healthy snacks that I can enjoy eating while I am working, as they are both convenient and delicious. This is one of the best snacks I have ever tried, without question."
5,Organic Seaweed Snacks Review,"Christie C.,",16-Nov-18,"I absolutely loved this seaweed snack !!! I got the sea salt flavor . Literally after my first bite , I was instantly sad that I just had one package !! Yes !!! They are that good !!! I couldn't help myself , I had to run out and pick up more !! Very very delicious!"
4,Organic Seaweed Snacks Review,"Elizabeth S.,",04-Dec-18,"My family really enjoyed the different flavors and are already asking to have these seaweed snacks on our regular grocery list. The favorite so far is the sea salt flavor. I often have an issue with texture while eating, but have absolutely no problems with this snack!"
5,Organic Seaweed Snacks Review,"Deborah J.,",18-Nov-18,"YUM YUM YUM. These will not fill you up, but will satisfy a craving for something when you don't know what. I have to force myself not to eat the entire packet in one sitting. I love the fact that they are full of B12 and iodine which are things I have heard are good for people with hypothyroidism."
5,Organic Seaweed Snacks Review,"Stephanie R.,",26-Dec-18,I enjoyed the flavor and quality. This product was easier to handle then other brands and was great w raw fish. I will buy this again. I ahve had a lot of products as i am a health food eatter and this one has the qualoty and taste i would reccomend to everyone.
5,Organic Seaweed Snacks Review,"Elizabeth D.,",30-Nov-18,"These seaweed packs are fantastic, and for a fraction of the price! They are tasty, and unlike past seaweed packs I have previously encountered they come in a variety of assorted flavors to choose from! All local stores sell it, which is great for me who craves them a lot. Before I had to make a long drive to buy them elsewhere."
5,Organic Seaweed Snacks Review,"Candace B.,",10-Jan-19,"I'm a big fan of quality seaweed products and I absolutely love the brand "" Ocean's Halo"". This brand has some of the best seaweed snacks that is on the market with the greatest variety. I like to have this snack before my workout each day or when I'm on the go. I would highly recommend this to others that enjoy light healthy snacks with a great taste."
4,Organic Seaweed Snacks Review,"Amanda F.,",11-Dec-18,"These were fun to eat. I love the texture and how salty they are. They are very thin and sort of dissolve in your mouth. Definitely hit the spot when I was craving something savory. I wish there were more in the package though. The Sea Salt flavor was my favorite of the two I tried. I was reluctant to try the Bacon, but the flavor was subtle and worked better than I had anticipated. I wish I could have tried other flavors. These were hard for me to find."
5,Organic Seaweed Snacks Review,"Marian R.,",01-Nov-18,I have used products from Ocean's Halo before and have been very happy with the quality and flavor so was very happy to try and review the Organic Seaweed snacks. My family eats seaweed a lot mostly with rice so these Seaweeds snacks in Chile lime flavor really excited me. My family and I loved the flavor .I liked that is made from ocean farmed seaweed and non GMO ingredients. I have already bought two more bags in different flavors to try..I feel good giving my kids these to snack on.
5,Organic Seaweed Snacks Review,"Heather W.,",07-Nov-18,"I love that seaweed is tasty! The unique flavors are not overpowering. I tried the Korean BBQ and it has the true Korean BBQ taste on a light, crunchy chip, which is actually seaweed (full of nutrients, and not actually a chip). It's a win when my kids love a healthy snack as well."
4,Organic Seaweed Snacks Review,"Brecken B.,",05-Dec-18,"I thought they were good. They were definitely a good value for the money. I didn't think the sea salt flavor came through as strongly as it could have, and that was slightly disappointing, but not enough to take away from their overall goodness. I also didn't think they were as crispy as they should have been, but that slightly added to their uniqueness from other brands."
3,Organic Seaweed Snacks Review,"Julianne D.,",04-Nov-18,"The Sushi Nori Sheets are packed with Vitamin B12 and Iodine! Personally, I do not particularly enjoy the taste of seaweed. It is alright, but not something I would buy. If I were to buy seaweed, I think Ocean's Halo is one of the better brands because it is completely natural with no additives. It is very expensive though for the smallness, and the lightness of seaweed."
5,Organic Seaweed Snacks Review,"Hannah A.,",17-Dec-18,"OMG I tried the chili lime halo seaweed snack sheet thing! It was awesome! I make a rice cracker snack mix, and I added that to it, which just topped it off perfect! It's slightly spicy with that awesome hint of lime aftertaste. I was wary to try the spicy looking one, because I don't care for spicy, but it wasn't too bad at all!"
3,Organic Seaweed Snacks Review,"Jennifer B.,",05-Nov-18,"I tried the Oceans Halo seaweed snacks in sea salt flavor. I did like the overall experience I had with the product, but I wish I could have found the flavors The product was also a bit hard to locate in my area. I hope to try the flavors with my coupons I received in the mail as well. Texas bbq sounds so good!"
5,Organic Seaweed Snacks Review,"Maile L.,",05-Jan-19,"I loved the seaweed snacks! Perfect replacements for chips, especially because it comes in different flavors. I've also tried their noodles and sauces, which was also very flavorful! This has definitely been added to my grocery list! #trynatural #gotitfree"
4,Organic Seaweed Snacks Review,"Hannah D.,",01-Nov-18,"I redeemed my free Ocean's Halo coupon on the Ocean's Halo ramen noodles, I paired them with my own homemade chicken noodle broth as well as adding a few canned mushrooms and sauteed onions. The noodles were soft and really soaked up the flavors. I can't wait to try the other products with my special coupons! Thank You again for this awesome sampling opportunity and I hope I get another chance to try before I buy. A+"
5,Organic Seaweed Snacks Review,"Christina W.,",24-Nov-18,I really like the seaweed snack. I got the sea salt flavor. It tastes more flavorful than regular salt or without the sea salt but was not too salty after eating all pieces in one package. The seaweed was roasted and has organic ingredients. The Seaweed has great nutrition and exceptional benefits for the health if eaten long term. I definitely recommend this.
4,Organic Seaweed Snacks Review,"Terry H.,",25-Nov-18,I bought this product to see if my picky eater 6 year old grandson would like them as a new snack. He actually liked the product and asked me to pick up more. I plan to slowly introduce new flavors to him. I am looking forward to offering him more snack options that are also healthy. I will definately tell others about these products.
5,Organic Seaweed Snacks Review,"Tiffany C.,",18-Nov-18,I really enjoyed Ocean's Halo Organic Seaweed Snacks very much. I tried the Korean BBQ flavor. It tasted very good and had a good texture. I like that this product is healthier than chips but still satisfies you. I highly recommend this product and look forward to trying more flavors in the future!
5,Organic Seaweed Snacks Review,"Frances R.,",28-Jan-19,"I had seen this brand and products before, but never bought any. Getting it free to try was awesome and I'm so happy I did. I have bought several other products from them after the free one. My husband and I loved it that much. The taste was just right and not super salty. We even bought some when my brother came over and he liked them as well. Every product we've bought so far, we've liked. But I only choose flavors that I know I'll most likely like. I honestly thought I wasn't going to like the seaweed snacks, but very surprisingly I loved it. Amazing flavor. I traded my potato chips for those."
5,Organic Seaweed Snacks Review,"Debbie B.,",15-Nov-18,"Never tried anything like this ever, I was very pleased with the flavor. I got the Sea Salt flavor and put it in my Tomato soup. I wasn't quite sure how to eat this so I thought it would be good in soup. I loved it, it brought a unique taste to the soup. It made it more flavorful and I am anxious to try the other brands as well. I told my family about this and they said they would be willing to try it as well. I recommend this to all who are interested, great flavor and healthy as well. A win, win situation."
4,Organic Seaweed Snacks Review,"Trinity J.,",30-Oct-18,"I love it! The seaweed snacks are good on their own, or you can have them with cream cheese, avocado, smoked salmon, spicy mayo, or just whatever makes you happy! I'll definitely buy these in the future, especially if I'm going to be entertaining guests! It's fun to mix it up and have a treat that no one is expecting. :)"
4,Organic Seaweed Snacks Review,"John S.,",12-Dec-18,I did not know what to expect. I ate them straight from the package like a chip. I moved it around in my mouth. it tasted like Susi with a hint of bacon. It gave me a good Susi fix without eating. I would enjoy eating them once every week or so. Need to try the other flavors.
5,Organic Seaweed Snacks Review,"Natalie B.,",07-Dec-18,I never really tried this product so is very excited to get the coupons and the free product I thought it was a really really good it actually tasted amazing I bought a whole bunch of other products I really did love this sample service it was really nice easy convenient fast and everything was all around amazing I would definitely recommend everything to a friend thank you
4,Organic Seaweed Snacks Review,"Tiffany F.,",10-Nov-18,My 8 year old son loves seaweed snacks and this one has become a favorite. He especially liked the Sea Salt over the Chili Lime flavor. Mommy liked the Wasabi! I liked that he was choosing a healthy snack over a bag of chips. I like the price and the serving sizes are perfect for lunch or an after-school snack. Also being Organic has the added benefit of no preservatives that he doesn't need while not losing the flavor that he likes.
5,Organic Seaweed Snacks Review,"Toya B.,",15-Feb-19,I love the Oceans Halo seaweed snacks! The seasalt and teriyaki flavor are my favorite ones! Whenever I need an easy healthy snack for my daughter I go to the store and pick some of these up! I recommend all parents keep these stocked up in their houses! Next my daughter and I will try out the nori sheets to make sushi
5,Organic Seaweed Snacks Review,"sarah W.,",07-Feb-19,I love the texture and the way this has such a light crunch yet melts right in my mouth. The flavor was perfect and cant wait to buy more! My children also love these and we all know how hard it is to find a good healthy snack for our kids to munch on after school. My 4 year old son loves these more than i do and i barely even got any lol.
5,Organic Seaweed Snacks Review,"Bobbi B.,",29-Oct-18,"I received a few coupons for Ocean's Halo organic seaweed snacks as well as other Ocean's Halo products. I ran to the store to try them, because I'm always willing to try new things. They were amazing! I have the chili lime seaweed snacks and absolutely loved them! Will purchase again!"
5,Organic Seaweed Snacks Review,"Joan M.,",26-Nov-18,"Oceans HALO seaweed snack is so tasty. I just ate mine as a snack. I wanted for the first time trying to get a true taste. Because it's organic, it was very tasty. It tasted like seaweed should taste and the texture was perfect. I did buy it and would highly recommend this product!"
5,Organic Seaweed Snacks Review,"Phyllis C.,",06-Dec-18,These are so good they're addictive! I have tried different flavors of the seaweed snacks and like them all. My favorite is the Chili Lime which is deliciously zesty with a kick. Seaweed is one of the best food sources of iodine. Ocean's Halo seaweed snack is seasoned with mostly organic ingredients.
4,Organic Seaweed Snacks Review,"Pat M.,",01-Nov-18,I tried Sea Salt Organic Seaweed Snack. I found the texture and taste very nice. The flavor was light with mouth the sea salt not being overpowering. The texture was not crumbly. It felt more like a melting into the rice that I ate it with. I definitely recommend it!!!
4,Organic Seaweed Snacks Review,"Jenny Y.,",05-Dec-18,"I'm not sure about these Seaweed snacks, I kind of like them, and I kind of don't. At first, they taste kind of gross, and the texture is something that I'm not used to, but after eating one, I kind of like it. I think if I get used to how these taste, and the texture, I will really like them."
4,Organic Seaweed Snacks Review,"Maggie B.,",28-Nov-18,The Seaweed Snacks are pretty good. They tasted much better than I thought they would. It is not the best ever or something I would crave though. But I like that they are a nice healthy snack. I tried the Chili Lime flavor which was pretty good. I guess I feel better knowing they are organic and actually good for me.
3,Organic Seaweed Snacks Review,"Lavonne A.,",08-Jan-19,The only reason I am not giving a higher rating is my store only carried the chili lime flavor. I am not the biggest fan of that one. I prefer the Sea Salt option. This was a good snack. They are easy to toss in your lunch bag for on a salad or just to eat alone. I prefer to use them in salads. The lime flavor comes through on this chili lime one. On the sea salt ones I like the saltiness of them.
4,Organic Seaweed Snacks Review,"Deyna C.,",10-Nov-18,"I really like seaweed snacks! I have never tried an Ocean's Halo product before, but the Sea Salt flavor that I tried did not disappoint. Seaweed snacks won't fill you up, but they do take the edge off of the hunger. The price point for these is incredible! They cost substantially less than the brans that I have bought before. I can picture myself buying these again. My only complaint is that I had to search for them in my area and when I found them, the only available flavor was Sea Salt. I would rather have tried some of the other flavors that set this brand of seaweed snacks apart from others. Maybe later."
3,Organic Seaweed Snacks Review,"Lorraine G.,",15-Nov-18,I thought that it was a good snack. Not the best since it had an after taste. It's good for when you need a quick snack on the go and you're hungry. I would recommend to those who enjoy eating healthy and don't mind the after taste. It is missing something but I'm not exactly sure what that is.
5,Organic Seaweed Snacks Review,"Rebecca P.,",28-Oct-18,"My first thoughts were how cheap it was and how stylish the packaging was. I initially thought that it would be the same as other seaweed snacks I have tried but I was blown away by this brand! It brought me back to my childhood, visiting Pismo Beach and being out in the ocean on a nice warm day! It was so fresh and delicious and that was just the Sea Salt flavor. I can't wait to try more of the other flavors!"
5,Organic Seaweed Snacks Review,"Jessica H.,",20-Nov-18,I was hesitant to try these even after purchasing just because I didn't know what to expect. My only experience with seaweed is sushi.. until now. I did it! I tried the sea salt in an attempt to get a true taste of what seaweed snacks are all about without flavor to disguise it.. they were great! Similar to a kale chip in my opinion. I would definitely be open to giving the other flavors a try.
4,Organic Seaweed Snacks Review,"Kimberly C.,",06-Dec-18,"Crispy and good. I liked these. I got the Bacon flavor. These make a great, simple, crispy snack. It's heathly, perfect size and I love that it has so many flavors. I will probably try the Siracha next. I would definitely recommend to others seeking a different kind of snack."
5,Organic Seaweed Snacks Review,"Jodi H.,",27-Nov-18,The food that you sent was alot better tasting than I thought it would be. Especially where they are good for you. This food is definitely something that is going to be included in my children's snacks and lunchtime menus. Thank you for sending the free sample.
3,Organic Seaweed Snacks Review,"Brooke A.,",27-Nov-18,I'm not a big fan or nori snacks but I do like it in sushi. This wasn't terrible but Inalso didn't love it either. I did like the saltyness and the crunch but I just couldn't get I've the string nori taste. I'm sore if the store I got it from had other flavors it would have been better. I would try another flavor.
5,Organic Seaweed Snacks Review,"Abby L.,",12-Nov-18,"I really liked the Sea Salt flavored Organic Seaweed Snacks from Ocean's Halo that we received free for review. The whole family shared these snacks and while most of us liked them, our little one did not care for the flavor. The texture started out lightly crispy and then softened while eating it, ending up a little bit like the texture of spinach. I was actually pleasantly surprised by the amount of flavor in the Sea Salt variety. I was expecting just a bit of a salty taste, but it was really flavorful! I like these for a healthy snack choice and will get the Bacon flavor next time. My local store only carries the Sea Salt and Bacon flavors that I know of, but I would like to try the other flavors too if I can find them."
4,Organic Seaweed Snacks Review,"Laury D.,",06-Dec-18,"these had a good flavor, i purchased the sea salt flavored Organic Seaweed Snacks by Ocean's Halo. i would like to try a few of the other flavors too, but for the sea salt flavored ones they did seem a little bit over salted if you ask me, but like i said i still liked the flavor, they are just like i remembered from when i was about 13 years old and i ate seaweed ""chips"". I would purchase these again."
5,Organic Seaweed Snacks Review,"Angie C.,",02-Nov-18,"I had the opportunity to try the new Halo seaweed snacks from Social Nature as a free sample. I received a coupon for a free offer along with several other buy one get one coupons from other new Halo products. I choose the shiracha snacks because I like adding some spice in my snacks. It was awesome! Just the perfect amount of flavor. They were so tasty, will be buying these in the future."
5,Organic Seaweed Snacks Review,"Brooke S.,",16-Nov-18,"I ABSOLUTELY LOVED the Ocean's Halo Organic Seaweed Snacks. I try the Sea Salt flavor and they tasted amazing! It is not too much of a "" salty "" taste either. It is just the right amount of salt. They are made with sustainable ocean-farmed seaweed and contain no GMOs in the product. It is the perfect size to pack for lunches too! It is a must have that I highly suggest as a healthy snack for lunches. #GotItFree"
2,Organic Seaweed Snacks Review,"Eileen T.,",30-Nov-18,I tried the Sea Salt Halo Seaweed Snacks. I did not like anything about the Seaweed Snacks. They were as thin a piece of paper. At first it just had a strong spinach like taste with salt. Then as you chewed it and it softened up a strong fishy taste emerged. Yuk! I never had any type of fish taste this fishy.
4,Organic Seaweed Snacks Review,"Michelle A.,",25-Nov-18,"I was unsure about these at first, but was pleasantly surprised by their flavor. It was really good and I would recommend them to anyone who is wanting to try a healthier snack. I am not a big seaweed fan, but. I would definitely purchase them again."
1,BARF!!!,"steve,",28-Jan-19,Don't listen to the others unless you like the taste of rotting fish. I had a tiny bite and almost barfed. My dogs wouldn't eat it at first then they did but they like whitefish dog food so maybe that's why I highly recommend not eating it but pranking friends into eating it.
2,Organic Seaweed Snacks Review,"Delta B.,",25-Nov-18,"I didn't like the texture or the taste that much. I tried other products like this in the past and I know it all natural and organic so I try to make myself like these types of products and I'm just not into it. What I mean by ""these types of products,"" is knowing that I'm actually eating seaweed. I've tried 2 other seaweed organic products sort of like HALO, but I can't get past the fact that its seaweed. I love organic items though, they're my favorite products because I know that there's no chemicals or pesticides and other added substances to make a product better tasting, but in all reality, it's not good for you. I love organic, but I will eat non-organic items as long as I read the ingredients and it's favorable to me. I will literally read every ingredient and the amount of vitamins, minerals, sugars, cholesterol, fats, etc in items that are new to me. I love trying new things, but I have to say I didn't necessarily enjoyed eating this. I didn't use the buy one get one coupons that were sent because I haven't used them yet. I intend to because it looks like there are different HALO products to try other than the seaweed one. I'm just giving my honest feedback, but others might enjoy this product. Thank you for letting me try this for free and the additional coupons that will be used in the future."
4,Organic Seaweed Snacks Review,"Carolyn Y.,",19-Jan-19,"I had a lot of trouble finding this product. I finally found it, and since there were limited choices I went with Sea Salt. I liked it. It was a fun snack, not greasy or too salty. I also bought some broth...definitely not what I expected. I don't see where I can review that, but if I find it I will. I liked the seaweed snacks."
5,Organic Seaweed Snacks Review,"Amanda M.,",04-Nov-18,"I love seaweed snacks and was able to try out the Ocean's Halo brand. They...are...amazing! There are several different flavors all yummy which makes it hard to choose a favorite. If I had to choose good ol' sea salt is my tops. They are a yummy, healthy snack that will satisfy your hunger and hankering for a snack."
4,Organic Seaweed Snacks Review,"Brandy M.,",10-Dec-18,"I have never tried Miso broth or anything made with kelp. I did warm the broth up first....has an interesting smell but not off-putting. I tried it by itself first and it is edible but I am not use to it. It is a strong flavor. I made a combination of asmine rice, grilled chicken, and the miso broth - it was great! Even my 1 year old baby boy tried it and kept coming back to me for more!"
3,Organic Seaweed Snacks Review,"Zandra L.,",05-Dec-18,"Wasn't a fan of the Ocean's Halo Organic Seaweed Snacks. I tried the bacon flavor and didn't notice any bacon taste whatsoever. I did like that these are a healthy and very affordable, organic snack alternative, however, I really dislike seafood and these taste very fishy to me, as do most seaweed products. If you enjoy seaweed foods though, I think these may be a great snack for you, but they were a pass for me!"
5,Organic Seaweed Snacks Review,"Jessica R.,",05-Nov-18,I was given the chance to sample Ocean's Halo Organic Seaweed Snacks through Social Nature. I picked the wasabi flavor and thought it had just enough spice on it. I ate these snacks just by themselves for a quick seaweed snack. I love seaweed and love Ocean's Halo and all the flavors they have to choose from. I will be trying all the flavors soon! #trynatural #gotitfree
5,Organic Seaweed Snacks Review,"JayLynn P.,",26-Nov-18,I bought the Korean BBQ Organic Seaweed Snacks and I will tell you it was the most tastiest thing I have ever ate. It was exploding with flavor. I had my boyfriend try them who doesn't even like basic seaweed snacks and said they were so amazing. They completely changed his mind. I 100 percent recommend.
5,Organic Seaweed Snacks Review,"Ryan M.,",11-Mar-19,"I'm not too fond of eating anything like this but I decided to give it a try. The aroma when first opening the bad was enough to tell me it was going to be an enjoyable experience. Once I pulled out a piece of see weed, it felt crisp. I then took a bite and my taste buds went out of control. The freshness combined with a hint of salt and finally the crunch. I will be looking for ways to make different snaks with these."
5,Organic Seaweed Snacks Review,"Dana C.,",11-Dec-18,I tried the sea salted seaweed snacks. They are salted just enough if you are craving something salty and you won't feel guilty for eating them. I would definitely recommend them and my husband is going to be taking them to work to snack on now. I will definitely be purchasing more in the future.
4,Organic Seaweed Snacks Review,"Amy E.,",15-Nov-18,"I liked this product. I thought it was quite versatile (eat alone, with rice, or on soup). Different flavors make it a nice interesting mix to a rice dish or to add extra kick to a soup. I tried the Korean BBQ and chili lime flavors and will likely buy again to keep on hand."
5,Organic Seaweed Snacks Review,"Chelsea W.,",20-Nov-18,I'm in love! I got wasabi and while I'm loyal to that flavor already I'm so excited to try the other flavors. Texture wasn't what I expected but i was so pleasantly surprised! The packaging was so inviting and the retail pricing was affordable. I've already recommended to everyone I know
5,Organic Seaweed Snacks Review,"Isabel C.,",25-Feb-19,"I already eat seaweed snacks, but they're usually just the normal flavor. Ocean's Halo had such interesting flavors, I didn't know which to try! I got the Korean BBQ and Chili Lime flavors and really loved them. I had some if it as is, and then some with rice. Delicious!"
4,Organic Seaweed Snacks Review,"Cindy R.,",06-Dec-18,"I bought the Ocean's Halo seaweed snacks in the sea salt flavor. Figured I'd try the base flavor first. These were pretty good. Dry as expected since they are a dried food, but nice if you tear them or chop them up in smaller pieces and use as a topping for rice or ramen."
5,Organic Seaweed Snacks Review,"Michelle P.,",31-Oct-18,"I love the idea of eating seaweed. It has so many nutritional benefits, including providing a bit of iodine for the thyroid. I tried Ocean Halo's sea salt seaweed. Very tasty. I am used to eating ""natural"" type foods. So this wasn't too far out there for me. I also eat sushi, which is rolled in seaweed sheets. The sea salt adds a nice salty taste and some electrolytes, which gives a little energy boost. Love it! I plan on buying again. Thanks!"
5,Organic Seaweed Snacks Review,"mary F.,",17-Nov-18,I tired the sea salt and it was very delicious. I would buy again to have on hand for a quick snack and great for on the go. You are doing good by buying these and the bonus is that they are good for you and taste great. My next flavor I'm going to try will be the chili lime for a little kick. I probably will buy all the broth flavors too :)
4,Organic Seaweed Snacks Review,"Lisa R.,",11-Mar-19,"First of all, I already love seaweed snack sheets in all forms so this wasn't a hard sell for me. I've eaten similar products from a variety of brands. I wouldn't say these are the absolute tastiest I've ever had. That award goes to a brand that cheats with large amounts of MSG. Instead Ocean's Halo sticks with organic, non-gmo, sustainable seaweed. In my opinion, this makes it easily superior."
5,Organic Seaweed Snacks Review,"Tazia S.,",06-Dec-18,These are great for a little snack and are healthier than a bag of chips. I shared these with my mom and she also liked them even though she doesn't like trying new things. I got the sea salt flavor because its the most basic and you can't really go wrong with sea salt.
5,Organic Seaweed Snacks Review,"Ayumi O.,",27-Dec-18,"I I've seaweed, usually Aleta with rice so didn't this would be a snack. I wanted to try Chile lime flavor but the didn't find it so reluctantly picked Bacon one. It literally bacon flavor and surprisingly not disturbing the seaweed flavor. I had never thought seaweed can be a snack with multiple flavor but I think it's actually it's a new way to enjoy it."
3,Organic Seaweed Snacks Review,"Randi N.,",26-Nov-18,"I wish I could have tried something other than sea salt because it ended up being too salty for me to enjoy. I figured since I like sushi that the nori snacks would also be as tasty, and perhaps the other flavors are but my store only had the sea salt ones and I wasn't a fan, but my fiance liked them."
